;;;;;Coeff :;1,00;Supp. :;0,00
Handle;Calque;Type d'Objet;Longueur (AutoCAD);Longueur (Corrigée)
EDFF7D;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D160)
EDFF7C;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D161)
EDFF7B;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D162)
EDFF7A;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D163)
EDFF79;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D164)
EDFF78;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D165)
EDFF77;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D166)
EDFF76;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D167)
EDFF75;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D168)
EDFF74;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D169)
EDFF73;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D170)
EDFF72;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D171)
EDFF71;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D172)
EDFF70;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D173)
EDFF6E;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D174)
EDFF6D;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D175)
EDFF6F;UBS-300-Fourreaux CFo (TPC90);Polyligne;1,43;=$G$1*($I$1+D176)
EDFE38;UBS-300-Fourreaux CFo (TPC90);Polyligne;104,82;=$G$1*($I$1+D177)
EDFE3C;UBS-300-Fourreaux CFo (TPC90);Polyligne;148,09;=$G$1*($I$1+D178)
EDFE3A;UBS-300-Fourreaux CFo (TPC90);Polyligne;157,28;=$G$1*($I$1+D179)
EDFE3B;UBS-300-Fourreaux CFo (TPC90);Polyligne;158,80;=$G$1*($I$1+D180)
EDFE39;UBS-300-Fourreaux CFo (TPC90);Polyligne;179,97;=$G$1*($I$1+D181)
EDFE37;UBS-300-Fourreaux CFo (TPC90);Polyligne;364,62;=$G$1*($I$1+D182)
EDFFA5;UBS-300-Fourreaux CFo (TPC90);Polyligne;645,42;=$G$1*($I$1+D183)
EDFFA6;UBS-300-Fourreaux CFo (TPC90);Polyligne;769,00;=$G$1*($I$1+D184)
F14BF8;UBS-300-Tranchée 100cm;Polyligne;11,20;=$G$1*($I$1+D185)
3FF6CE;UBS-300-Tranchée 100cm;Polyligne;90,42;=$G$1*($I$1+D186)
3FF6CB;UBS-300-Tranchée 100cm;Polyligne;96,49;=$G$1*($I$1+D187)
3FF6CC;UBS-300-Tranchée 100cm;Polyligne;96,53;=$G$1*($I$1+D188)
F14BF9;UBS-300-Tranchée 120cm;Polyligne;11,20;=$G$1*($I$1+D189)
F14BFA;UBS-300-Tranchée 140cm;Polyligne;11,20;=$G$1*($I$1+D190)
F14BFB;UBS-300-Tranchée 160cm;Polyligne;11,20;=$G$1*($I$1+D191)
3FF6EF;UBS-300-Tranchée 40cm;Polyligne;7,27;=$G$1*($I$1+D192)
F14BF5;UBS-300-Tranchée 40cm;Polyligne;11,20;=$G$1*($I$1+D193)
3FF6B0;UBS-300-Tranchée 40cm;Polyligne;14,73;=$G$1*($I$1+D194)
3FF4CF;UBS-300-Tranchée 40cm;Polyligne;14,73;=$G$1*($I$1+D195)
3FF6B8;UBS-300-Tranchée 40cm;Polyligne;14,73;=$G$1*($I$1+D196)
3FF6B4;UBS-300-Tranchée 40cm;Polyligne;14,73;=$G$1*($I$1+D197)
